Countries,Province/State,date,confirmed,recovered,deaths,CHE_per_capita,CHE_prop_GDP,DOM_prop_CHE,OOPS_prop_CHE,GGHE_prop_GDP,GGHE_per_capita,PVT_per_capita,OOPS_per_capita,GOV_SUB_INS,GGE,Lat,Long,Country Income Group
Afghanistan,NA,2020-03-13,7,0,0,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-14,11,0,0,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-15,16,0,0,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-16,21,1,0,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-17,22,1,0,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-18,22,1,0,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-19,22,1,0,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-20,24,1,0,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-21,24,1,0,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-22,40,1,1,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-23,40,1,1,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-24,74,1,1,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-25,84,2,2,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-26,94,2,4,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-27,110,2,4,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-28,110,2,4,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-29,120,2,4,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-30,170,2,4,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-03-31,174,5,4,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-01,237,5,4,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-02,273,10,6,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-03,281,10,6,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-04,299,10,7,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-05,349,15,7,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-06,367,18,11,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-07,423,18,14,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-08,444,29,14,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-09,484,32,15,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-10,521,32,15,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-11,555,32,18,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-12,607,32,18,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-13,665,32,21,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-14,714,40,23,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-15,784,43,25,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-16,840,54,30,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-17,906,99,30,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-18,933,112,30,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-19,996,131,33,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-20,1026,135,36,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-21,1092,150,36,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-22,1176,166,40,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-23,1279,179,42,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-24,1351,188,43,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-25,1463,188,47,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-26,1531,207,50,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-27,1703,220,57,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-28,1828,228,58,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-29,1939,252,60,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-04-30,2171,260,64,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-01,2335,310,68,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-02,2469,331,72,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-03,2704,345,85,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-04,2894,397,90,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-05,3224,421,95,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-06,3392,458,104,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-07,3563,468,106,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-08,3778,472,109,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-09,4033,502,115,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-10,4402,558,120,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-11,4687,558,122,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-12,4963,610,127,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-13,5226,648,132,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-14,5639,691,136,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
Afghanistan,NA,2020-05-15,6053,745,153,67,12,81,75,1,3,51,51,NA,NA,33,65,Low
